Info 0    [17:52:35.565] Starting TS Server
Info 1    [17:52:35.566] Version: 4.5.4
Info 2    [17:52:35.566] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-1/phase-1-practice-toy-tale/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/bb11936688d17f34adad18319efb7d5a/tscancellation*
Info 3    [17:52:35.566] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [17:52:35.566] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [17:52:35.582] Format host information updated
Info 6    [17:52:35.584] Search path: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-practice-toy-tale/src
Info 7    [17:52:35.584] For info: /Users/samuelbanya/hub/Development/code/phase-1/phase-1-practice-toy-tale/src/index.js :: No config files found.
Info 8    [17:52:35.588] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [17:52:36.028] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 439.36059000343084ms
Info 10   [17:52:36.028] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [17:52:36.028] 	Files (19)

Info 12   [17:52:36.028] -----------------------------------------------
Info 13   [17:52:37.350] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [17:52:37.364] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 14.04865299910307ms
Info 15   [17:52:37.364] Different program with same set of files
Info 16   [17:52:41.280] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [17:52:41.290] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 8.76936800032854ms
Info 18   [17:52:41.290] Different program with same set of files
Info 19   [17:53:01.311] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [17:53:01.324] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 13.463675998151302ms
Info 21   [17:53:01.324] Different program with same set of files
Info 22   [17:55:04.184] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [17:55:04.196] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 11.709451995790005ms
